,user_id,user_likes,track_id,sentiment_score,genre
0,user7,['pop'],track385_pop,4.0,pop
1,user7,['pop'],track441_pop,7.0,pop
2,user7,['pop'],track361_pop,9.0,pop
3,user7,['pop'],track164_pop,9.0,pop
4,user7,['pop'],track224_pop,4.0,pop
5,user7,['pop'],track231_pop,3.0,pop
6,user7,['pop'],track5_pop,7.0,pop
7,user7,['pop'],track61_pop,3.0,pop
8,user7,['pop'],track491_pop,7.0,pop
9,user7,['pop'],track206_pop,5.0,pop
10,user7,['pop'],track106_pop,,pop
11,user7,['pop'],track193_pop,5.0,pop
12,user7,['pop'],track237_pop,7.0,pop
13,user7,['pop'],track145_pop,3.0,pop
14,user7,['pop'],track44_pop,9.0,pop
15,user7,['pop'],track371_pop,7.0,pop
16,user7,['pop'],track57_pop,9.0,pop
17,user7,['pop'],track471_pop,,pop
18,user7,['pop'],track427_pop,7.0,pop
19,user7,['pop'],track125_pop,,pop
20,user7,['pop'],track169_pop,5.0,pop
21,user7,['pop'],track11_pop,4.0,pop
22,user7,['pop'],track444_pop,,pop
23,user7,['pop'],track354_pop,3.0,pop
24,user7,['pop'],track400_pop,9.0,pop
25,user7,['pop'],track38_pop,,pop
26,user7,['pop'],track203_pop,,pop
27,user7,['pop'],track106_pop,,pop
28,user7,['pop'],track343_pop,3.0,pop
29,user7,['pop'],track380_pop,5.0,pop
30,user7,['pop'],track140_pop,,pop
31,user7,['pop'],track260_pop,4.0,pop
32,user7,['pop'],track398_pop,3.0,pop
33,user7,['pop'],track251_pop,3.0,pop
34,user7,['pop'],track395_pop,,pop
35,user7,['pop'],track492_pop,7.0,pop
36,user7,['pop'],track177_pop,3.0,pop
37,user7,['pop'],track277_pop,4.0,pop
38,user7,['pop'],track215_pop,3.0,pop
39,user7,['pop'],track480_pop,3.0,pop
40,user7,['pop'],track498_pop,9.0,pop
41,user7,['pop'],track345_pop,,pop
42,user7,['pop'],track92_pop,7.0,pop
43,user7,['pop'],track442_pop,5.0,pop
44,user7,['pop'],track354_pop,3.0,pop
45,user7,['pop'],track385_pop,4.0,pop
46,user7,['pop'],track474_pop,3.0,pop
47,user7,['pop'],track441_pop,7.0,pop
48,user7,['pop'],track280_pop,7.0,pop
49,user7,['pop'],track442_pop,5.0,pop
50,user7,['pop'],track66_pop,,pop
51,user7,['pop'],track264_pop,7.0,pop
52,user7,['pop'],track397_pop,7.0,pop
53,user7,['pop'],track249_pop,5.0,pop
