,sentiment,sentiment_score,user_id,track_id,created_at,time_zone,instrumentalness,liveness,speechiness,danceability,valence,loudness,tempo,acousticness,energy,mode,key
0,1,4.8,777345882,d41a6e97725794051a1e412d5651c52b,2014-04-07 10:00:01,Irkutsk,0.000197,0.889,0.0737,0.77,0.778,-6.614,118.412,0.125,0.813,1,11.0
1,1,0.7,777345882,d41a6e97725794051a1e412d5651c52b,2014-04-07 10:00:01,Irkutsk,0.000197,0.889,0.0737,0.77,0.778,-6.614,118.412,0.125,0.813,1,11.0
2,1,0.6,777345882,d41a6e97725794051a1e412d5651c52b,2014-04-07 10:00:01,Irkutsk,0.000197,0.889,0.0737,0.77,0.778,-6.614,118.412,0.125,0.813,1,11.0
3,1,3.4000000000000004,41305021,064aae26edd303a7312046b151c90bff,2014-12-18 04:48:47,Pacific Time,5.83e-05,0.178,0.0414,0.787,0.967,-12.626,139.189,0.0131,0.522,1,2.0
4,1,2.4000000000000004,41305021,064aae26edd303a7312046b151c90bff,2014-12-18 04:48:47,Pacific Time,5.83e-05,0.178,0.0414,0.787,0.967,-12.626,139.189,0.0131,0.522,1,2.0
5,1,2.4000000000000004,41305021,064aae26edd303a7312046b151c90bff,2014-12-18 04:48:47,Pacific Time,5.83e-05,0.178,0.0414,0.787,0.967,-12.626,139.189,0.0131,0.522,1,2.0
6,1,0.6,41305021,064aae26edd303a7312046b151c90bff,2014-12-18 04:48:47,Pacific Time,5.83e-05,0.178,0.0414,0.787,0.967,-12.626,139.189,0.0131,0.522,1,2.0
7,1,3.3999999999999995,198540941,86b8e0b8abf006a40ac3aa12b460bbc4,2014-06-25 18:08:45,Osaka,0.0721,0.442,0.0834,0.283,0.622,-7.145,155.005,0.00235,0.923,1,9.0
8,1,2.7,198540941,86b8e0b8abf006a40ac3aa12b460bbc4,2014-06-25 18:08:45,Osaka,0.0721,0.442,0.0834,0.283,0.622,-7.145,155.005,0.00235,0.923,1,9.0
9,1,0.6,198540941,86b8e0b8abf006a40ac3aa12b460bbc4,2014-06-25 18:08:45,Osaka,0.0721,0.442,0.0834,0.283,0.622,-7.145,155.005,0.00235,0.923,1,9.0
10,1,3.2,433647092,9e56059d557123aa4620b63549d37e73,2014-08-10 20:06:28,Hawaii Time,0.000618,0.112,0.041,0.304,0.2,-15.617,86.239,0.738,0.219,0,0.0
11,1,3.2,54783576,b556a8bd5dda65affbb683403e4cdf9a,2014-01-05 21:16:34,Eastern Time,1.37e-05,0.898,0.026,0.454,0.355,-5.591,76.505,0.1,0.725,1,10.0
12,1,0.6,54783576,b556a8bd5dda65affbb683403e4cdf9a,2014-01-05 21:16:34,Eastern Time,1.37e-05,0.898,0.026,0.454,0.355,-5.591,76.505,0.1,0.725,1,10.0
13,1,3.2,60653412,ee5f912ee704f90b048fc8b9be8e0e8a,2014-01-09 10:13:59,London,9.06e-06,0.112,0.066,0.606,0.876,-9.595,79.832,0.601,0.537,0,2.0
14,1,3.2,60653412,fd9d2f0f4f88de07fe2e96a96606ca0b,2014-01-09 10:29:36,London,4.6e-05,0.0951,0.0344,0.711,0.825,-7.279,104.23,0.00966,0.656,0,7.0
15,1,3.2,60653412,6834adc09db42e261354a62d0ae8c0d6,2014-01-13 10:00:49,London,0.341,0.0945,0.0374,0.597,0.566,-7.66,104.932,2.26e-05,0.91,1,7.0
16,1,3.2,60653412,a814e17ea25079a333bf842528ed5213,2014-01-13 10:07:24,London,0.00238,0.371,0.0381,0.305,0.12,-2.248,150.463,0.21,0.863,1,2.0
17,1,3.2,60653412,d6b1124fdd64c4b1afa59f967397111d,2014-02-13 08:06:05,London,0.0,0.132,0.0322,0.422,0.331,-7.064,119.93,0.922,0.264,1,8.0
18,1,3.2,60653412,d6b1124fdd64c4b1afa59f967397111d,2014-02-14 10:26:00,London,0.0,0.132,0.0322,0.422,0.331,-7.064,119.93,0.922,0.264,1,8.0
19,1,3.2,60653412,56f357cab825b0e957130b2455c254a8,2014-02-16 11:30:37,London,0.000915,0.0742,0.0632,0.769,0.872,-7.789,103.317,0.214,0.806,0,4.0
20,1,3.2,60653412,3f36b83ad4dc62bda60d06ee13393737,2014-02-18 00:53:17,London,3.44e-05,0.0907,0.18,0.697,0.836,-11.496,84.802,0.856,0.55,1,2.0
21,1,3.2,60653412,2ea44cc1b5e27d7754f336d3aa8ddd19,2014-02-24 10:16:07,London,0.00166,0.118,0.0573,0.551,0.57,-13.959,110.872,0.433,0.451,0,5.0
22,1,3.2,60653412,78689047778b99f28ccb101aeafdba55,2014-02-25 13:52:51,London,0.0871,0.0822,0.0362,0.361,0.0702,-24.515,97.125,0.911,0.0279,0,0.0
